gestfips,h_year,hearnval,hfdval,hfoodsp,hlorent,hmcaid,hpawval,hpaw_yn,hpublic,hssival,h_seq,gtmetsta,ffpos,f_mv_fs,povll,pehspnon,prdtrace,prcitshp,pemlr,a_age,a_maritl,a_hga,marsupwt,dis_hp,hea,mcaid,paw_val,paw_yn,pearnval,pov_univ,pppos,spm_id,ssi_val,ssi_yn,wkswork,racecat
California,2023,55000,0,2,0,3,0,2,0,0,79551,1,1,0,9,2,1,1,1,44,1,43,2183.93,2,3,2,0,2,0,1,42,79551001,0,2,0,1
California,2023,0,0,2,0,3,0,2,0,0,79552,1,1,0,9,1,1,4,5,66,1,35,1872.48,2,3,2,0,2,0,1,41,79552001,0,2,0,4
California,2023,18000,3600,1,2,2,0,2,2,0,79554,1,1,3600,3,2,1,1,4,38,1,43,4985.03,1,5,1,0,2,0,1,42,79554001,0,2,0,1
California,2023,140000,0,2,0,3,0,2,0,0,79556,1,1,0,13,2,1,1,0,3,7,0,3121.88,0,1,2,0,0,0,1,44,79556001,0,0,0,1
California,2023,0,1524,1,0,1,0,2,1,14400,79559,1,1,1524,3,2,2,1,5,63,5,40,3904.1,1,4,1,0,2,0,1,41,79559001,14400,1,0,2
California,2023,0,8280,1,2,1,14400,1,2,0,79560,1,1,6210,2,2,1,1,0,1,7,0,3169.82,0,1,1,0,0,0,1,43,79560001,0,0,0,1
California,2023,0,8280,1,2,1,14400,1,2,0,79560,1,2,2070,1,1,1,1,6,25,7,40,2275.37,1,3,1,0,2,0,1,44,79560001,0,2,0,4
California,2023,78000,0,2,0,1,0,2,0,0,79561,1,1,0,10,1,1,1,2,39,1,40,2211.84,2,3,1,0,2,38000,1,41,79561001,0,2,52,4
California,2023,100000,0,2,0,3,0,2,0,0,79562,1,1,0,8,1,1,4,7,43,1,43,2225.14,2,1,2,0,2,0,1,42,79562001,0,2,0,4
California,2023,36000,0,2,2,3,0,2,2,0,79563,1,1,0,8,1,1,5,1,30,7,39,2178.22,2,1,2,0,2,36000,1,41,79563001,0,2,36,4
California,2023,25000,0,2,0,1,0,2,0,0,79564,1,1,0,1,2,1,1,7,29,7,39,3234.04,2,1,1,0,2,0,1,41,79564001,0,2,0,1
California,2023,25000,0,2,0,1,0,2,0,0,79564,1,2,0,6,2,1,1,1,35,7,39,3234.04,2,1,1,0,2,25000,1,45,79564001,0,2,52,1
California,2023,39500,0,2,0,1,0,2,0,0,79565,1,1,0,8,2,1,1,1,49,7,39,2914.64,2,3,1,0,2,39500,1,41,79565001,0,2,52,1
California,2023,131092,0,2,0,3,0,2,0,0,79567,1,1,0,14,2,1,1,1,56,1,44,2556.9,2,4,2,0,2,51092,1,41,79567001,0,2,52,1
California,2023,131092,0,2,0,3,0,2,0,0,79567,1,2,0,1,2,1,1,7,16,7,34,3644.42,2,2,2,0,2,0,1,43,79567004,0,2,0,1
California,2023,131092,0,2,0,3,0,2,0,0,79567,1,3,0,-1,2,1,1,0,8,7,0,3269.63,0,2,2,0,0,0,0,44,79567001,0,0,0,1
California,2023,57000,0,2,0,2,0,2,0,0,79568,1,1,0,8,2,1,1,0,11,7,0,2800.15,0,2,1,0,0,0,1,43,79568001,0,0,0,1
California,2023,100000,0,2,0,3,0,2,0,0,79569,1,1,0,13,2,1,1,0,1,7,0,2440.1,0,1,2,0,0,0,1,43,79569001,0,0,0,1
California,2023,40000,0,2,0,3,0,2,0,0,79570,2,1,0,9,1,1,4,1,52,5,39,2411.7,2,3,2,0,2,40000,1,41,79570001,0,2,52,4
California,2023,88000,0,2,0,2,0,2,0,0,79571,2,1,0,11,1,1,1,0,13,7,0,2979.92,0,1,1,0,0,0,1,43,79571001,0,0,0,4
California,2023,0,0,2,0,3,0,2,0,0,79572,2,1,0,11,2,1,1,5,85,4,43,3557,2,1,2,0,2,0,1,41,79572001,0,2,0,1
California,2023,0,0,2,2,3,0,2,2,0,79573,2,1,0,10,2,1,1,5,80,4,41,3557,2,3,2,0,2,0,1,41,79573001,0,2,0,1
California,2023,0,0,2,2,3,0,2,2,0,79576,2,1,0,10,2,1,1,5,67,4,43,4345.7,2,4,2,0,2,0,1,41,79576001,0,2,0,1
California,2023,0,4800,1,2,1,0,2,2,0,79577,2,1,2400,1,2,1,1,7,48,7,39,4653.69,2,4,1,0,2,0,1,41,79577001,0,2,0,1
California,2023,0,4800,1,2,1,0,2,2,0,79577,2,2,2400,1,2,1,1,4,60,6,38,4653.69,2,3,1,0,2,0,1,42,79577001,0,2,0,1
California,2023,0,0,2,0,1,0,2,0,0,79578,2,1,0,5,2,1,1,5,71,1,44,5139.45,2,5,1,0,2,0,1,42,79578001,0,2,0,1
California,2023,0,0,2,2,3,0,2,2,0,79589,2,1,0,5,2,1,1,5,78,1,36,3585.32,1,5,2,0,2,0,1,41,79589001,0,2,0,1
California,2023,0,0,2,0,3,0,2,0,0,79591,2,1,0,1,2,1,1,5,61,5,43,4988.94,1,5,2,0,2,0,1,41,79591001,0,2,0,1
California,2023,0,0,2,0,3,0,2,0,0,79592,2,1,0,14,2,1,1,5,73,1,42,4006.58,1,4,2,0,2,0,1,41,79592001,0,2,0,1
California,2023,0,0,2,2,3,0,2,2,0,79594,2,1,0,5,2,1,1,5,74,1,40,4450.15,2,3,2,0,2,0,1,41,79594001,0,2,0,1
California,2023,11000,1520,1,2,2,0,2,2,0,79596,2,1,1520,10,2,1,1,5,65,7,40,4311.38,2,4,2,0,2,0,1,41,79596001,0,2,0,1
California,2023,0,0,2,2,3,0,2,2,0,79597,2,1,0,3,2,1,1,6,62,5,43,4988.94,2,5,2,0,2,0,1,41,79597001,0,2,0,1
California,2023,0,0,2,0,2,0,2,0,188,79600,2,1,0,5,2,1,1,6,65,5,39,3356.16,1,4,1,0,2,0,1,42,79600001,188,1,0,1
California,2023,36000,2160,1,2,2,0,2,2,0,79601,2,1,2160,11,2,1,1,5,76,1,40,3585.32,2,4,2,0,2,0,1,41,79601001,0,2,0,1
California,2023,0,0,2,2,1,0,2,2,23244,79602,2,1,0,7,2,1,1,5,62,4,41,4329.18,1,4,1,0,2,0,1,41,79602001,23244,1,0,1
California,2023,79000,0,2,2,2,0,2,2,0,79603,2,1,0,9,2,1,1,1,42,5,40,2699.58,1,3,2,0,2,65000,1,41,79603001,0,2,52,1
California,2023,0,0,2,0,3,0,2,0,0,79604,2,1,0,11,2,1,1,5,80,1,42,4976.98,2,4,2,0,2,0,1,42,79604001,0,2,0,1
California,2023,189046,0,2,2,3,0,2,2,0,79605,2,1,0,13,1,1,1,2,18,7,39,2310.45,2,2,2,0,2,29923,1,46,79605001,0,2,52,4
California,2023,125000,0,2,0,2,0,2,0,0,79620,2,1,0,13,1,1,1,1,48,5,40,2435.59,2,2,2,0,2,75000,1,41,79620001,0,2,52,4
California,2023,125000,0,2,0,2,0,2,0,0,79620,2,2,0,10,2,1,1,1,46,5,42,2435.59,2,2,1,0,2,50000,1,42,79620001,0,2,52,1
California,2023,125000,0,2,0,2,0,2,0,0,79620,2,3,0,1,2,1,1,6,25,7,39,2658.93,1,4,1,0,2,0,1,43,79620004,0,2,0,1
California,2023,0,0,2,2,2,0,2,2,0,79621,2,1,0,2,1,1,1,7,26,7,39,3304.01,2,1,2,0,2,0,1,43,79621001,0,2,0,4
California,2023,22000,0,2,2,1,0,2,2,0,79622,2,1,0,2,1,1,5,7,16,7,37,2465.69,2,3,1,0,2,0,1,42,79622001,0,2,0,4
California,2023,80000,0,2,0,3,0,2,0,0,79626,2,1,0,9,2,1,1,7,50,1,39,2702.11,2,3,2,0,2,0,1,41,79626001,0,2,0,1
California,2023,40000,0,2,0,3,0,2,0,0,79627,2,1,0,9,2,1,1,5,80,1,44,2169.95,2,3,2,0,2,0,1,41,79627001,0,2,0,1
California,2023,118700,0,2,2,3,0,2,2,0,79628,2,1,0,9,1,1,5,1,58,3,35,2280.69,2,1,2,0,2,25000,1,42,79628001,0,2,52,4
California,2023,118700,0,2,2,3,0,2,2,0,79628,2,2,0,9,1,1,1,0,8,7,0,3065.7,0,1,2,0,0,0,1,45,79628001,0,0,0,4
California,2023,38500,0,2,0,1,0,2,0,0,79629,2,1,0,2,1,1,1,0,8,7,0,2799.73,0,1,1,0,0,0,1,43,79629001,0,0,0,4
California,2023,38500,0,2,0,1,0,2,0,0,79629,2,2,0,5,1,1,1,4,35,7,39,2473.37,2,1,1,0,2,22500,1,44,79629001,0,2,52,4
California,2023,72000,0,2,2,3,0,2,2,0,79630,2,1,0,8,1,1,1,0,11,7,0,2302.8,0,2,2,0,0,0,1,44,79630001,0,0,0,4
California,2023,40400,0,2,2,3,0,2,2,0,79631,2,1,0,5,2,1,5,1,28,7,43,3325.82,2,2,2,0,2,20400,1,41,79631001,0,2,52,1
California,2023,40400,0,2,2,3,0,2,2,0,79631,2,2,0,5,2,4,5,1,32,7,43,3217.14,2,2,2,0,2,20000,1,42,79631003,0,2,52,3
California,2023,74200,0,2,2,3,0,2,2,0,79632,2,1,0,9,1,1,1,1,27,7,43,3119.73,2,1,2,0,2,44200,1,41,79632001,0,2,52,4
